Processado,Método,URI,Marcadores
false,GET,http://globoesporte.globo.com/pi/,Fora do Escopo
true,GET,https://g1.globo.com/rn/rio-grande-do-norte/,
true,GET,https://g1.globo.com/carros/marcas/volvo/,
false,GET,https://globoplay.globo.com/bom-dia-rn/p/7059/,Fora do Escopo
false,GET,https://globoplay.globo.com/rn-tv-1a-edicao/p/7062/,Fora do Escopo
false,GET,https://globoplay.globo.com/rn-tv-2a-edicao/p/7060/,Fora do Escopo
false,GET,https://globoplay.globo.com/inter-tv-rural-rn/p/8690/,Fora do Escopo
false,GET,http://globoesporte.globo.com/rn/,Fora do Escopo
true,GET,https://g1.globo.com/se/sergipe/,
true,GET,https://g1.globo.com/carros/marcas/kia/,
false,GET,https://globoplay.globo.com/bom-dia-sergipe/p/5658/,Fora do Escopo
false,GET,https://globoplay.globo.com/se-tv-1a-edicao/p/5664/,Fora do Escopo
false,GET,https://globoplay.globo.com/se-tv-2a-edicao/p/5665/,Fora do Escopo
false,GET,https://globoplay.globo.com/estacao-agricola/p/5663/,Fora do Escopo
false,GET,http://globoesporte.globo.com/se/,Fora do Escopo
true,GET,https://g1.globo.com/ac/acre/,
true,GET,https://g1.globo.com/carros/marcas/chrysler/,
true,GET,https://g1.globo.com/ac/acre/videos-bom-dia-acre/,
true,GET,https://g1.globo.com/carros/marcas/mahindra/,
true,GET,https://g1.globo.com/ac/acre/videos-jornal-do-acre-1-edicao/,
true,GET,https://g1.globo.com/carros/marcas/nissan/,
true,GET,https://g1.globo.com/ac/acre/videos-jornal-do-acre-2-edicao/,
false,GET,http://globoesporte.globo.com/ac/,Fora do Escopo
true,GET,https://g1.globo.com/ap/amapa/,
true,GET,https://g1.globo.com/carros/marcas/troller/,
false,GET,https://globoplay.globo.com/bom-dia-amazonia-ap/p/7554/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-do-amapa-1a-edicao/p/7546/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-do-amapa-2a-edicao/p/7553/,Fora do Escopo
false,GET,https://globoplay.globo.com/amazonia-rural/p/5463/,Fora do Escopo
false,GET,http://globoesporte.globo.com/ap/,Fora do Escopo
true,GET,https://g1.globo.com/am/amazonas/,
false,GET,https://globoplay.globo.com/bom-dia-amazonia/p/5462/,Fora do Escopo
false,GET,https://globoplay.globo.com/jam-1a-edicao/p/5465/,Fora do Escopo
false,GET,https://globoplay.globo.com/jam-2a-edicao/p/5464/,Fora do Escopo
false,GET,http://globoesporte.globo.com/am/,Fora do Escopo
true,GET,https://g1.globo.com/pa/para/,
true,GET,https://g1.globo.com/carros/marcas/ford/,
false,GET,https://globoplay.globo.com/bom-dia-para/p/5805/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-liberal-1a-edicao/p/5806/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-liberal-2a-edicao/p/5807/,Fora do Escopo
false,GET,https://globoplay.globo.com/liberal-comunidade/p/5808/,Fora do Escopo
true,GET,https://g1.globo.com/pa/para/e-do-para/,
true,GET,https://g1.globo.com/carros/marcas/mitsubishi/,
false,GET,http://globoesporte.globo.com/pa/,Fora do Escopo
true,GET,https://g1.globo.com/pa/santarem-regiao/,
true,GET,https://g1.globo.com/carros/marcas/fiat/,
false,GET,https://globoplay.globo.com/bom-dia-santarem/p/7742/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-tapajos-1a-edicao/p/7740/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-tapajos-2a-edicao/p/7743/,Fora do Escopo
false,GET,http://globoesporte.globo.com/pa/santarem-regiao/,Fora do Escopo
true,GET,https://g1.globo.com/ro/rondonia/,
true,GET,https://g1.globo.com/carros/marcas/peugeot/,
false,GET,https://globoplay.globo.com/bom-dia-amazonia-ro/p/5877/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-de-rondonia-1a-edicao/p/5881/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-de-rondonia-2a-edicao/p/5878/,Fora do Escopo
false,GET,http://globoesporte.globo.com/ro/,Fora do Escopo
true,GET,https://g1.globo.com/rr/roraima/,
true,GET,https://g1.globo.com/carros/marcas/agrale/,
false,GET,https://globoplay.globo.com/bom-dia-amazonia-rr/p/7418/,Fora do Escopo
false,GET,https://globoplay.globo.com/roraima-tv/p/7420/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-de-roraima/p/7419/,Fora do Escopo
true,GET,https://g1.globo.com/carros/marcas/bmw/,
false,GET,http://globoesporte.globo.com/rr/,Fora do Escopo
true,GET,https://g1.globo.com/to/tocantins/,
false,GET,https://globoplay.globo.com/bom-dia-tocantins/p/7576/,Fora do Escopo
true,GET,https://g1.globo.com/carros/marcas/chery/,
true,GET,http://g1.globo.com/mg/triangulo-mineiro/aeroporto/uberlandia.html,
false,GET,https://globoplay.globo.com/ja-1a-edicao-to/p/7574/,Fora do Escopo
false,GET,https://globoplay.globo.com/ja-2a-edicao-to/p/7575/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-do-campo-to/p/7573/,Fora do Escopo
false,GET,http://globoesporte.globo.com/to/,Fora do Escopo
true,GET,http://g1.globo.com/rj/rio-de-janeiro/aeroporto/galeao.html,
true,GET,https://g1.globo.com/es/espirito-santo/,
true,GET,https://g1.globo.com/carros/marcas/effa/,
true,GET,http://g1.globo.com/ma/maranhao/aeroporto/sao-luis.html,
false,GET,https://globoplay.globo.com/bom-dia-es/p/5326/,Fora do Escopo
true,GET,http://g1.globo.com/pr/oeste-sudoeste/aeroporto/foz-do-iguacu.html,
true,GET,https://g1.globo.com/carros/marcas/jaguar/,
false,GET,https://globoplay.globo.com/estv-1a-edicao/p/5327/,Fora do Escopo
false,GET,https://globoplay.globo.com/estv-2a-edicao/p/5332/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-do-campo-es/p/5329/,Fora do Escopo
true,GET,https://g1.globo.com/es/espirito-santo/agronegocios/,
true,GET,https://g1.globo.com/carros/modelos/toyota-etios-hatch/,
true,GET,http://g1.globo.com/ac/acre/aeroporto/cruzeiro-do-sul.html,
true,GET,https://g1.globo.com/carros/marcas/land-rover/,
true,GET,https://g1.globo.com/carros/modelos/toyota-camry/,
true,GET,https://g1.globo.com/es/espirito-santo/educacao/,
true,GET,https://g1.globo.com/carros/modelos/toyota-corolla/,
true,GET,https://g1.globo.com/carros/marcas/mini/,
true,GET,http://g1.globo.com/sc/santa-catarina/aeroporto/hercilio-luz.html,
true,GET,https://g1.globo.com/carros/marcas/chevrolet/,
true,GET,http://g1.globo.com/mg/minas-gerais/aeroporto/confins.html,
false,GET,https://login.globo.com/login/464,Fora do Escopo
false,GET,https://meuperfil.globo.com/perfil/home,Fora do Escopo
false,GET,http://anuncie.globo.com/redeglobo/,Fora do Escopo
true,GET,https://g1.globo.com/es/espirito-santo/concursos-e-emprego/,
true,GET,https://g1.globo.com/carros/modelos/volkswagen-crossfox/,
true,GET,http://g1.globo.com/rj/rio-de-janeiro/aeroporto/santos-dumont.html,
true,GET,https://g1.globo.com/carros/marcas/toyota/,
true,GET,https://g1.globo.com/carros/modelos/effa-hafei-picape-bau/,
false,GET,https://s.glbimg.com/bs/delivery/delivery-components/backstage-cms-search-page/0.2.5/server/style.css,Fora do Escopo
false,GET,http://globoesporte.globo.com/es/,Fora do Escopo
false,GET,https://s.glbimg.com/bs/delivery/delivery-components/backstage-cms-barra-globo/0.1.3/server/style.css,Fora do Escopo
true,GET,https://g1.globo.com/mg/minas-gerais/,
false,GET,https://s.glbimg.com/bs/delivery/delivery-components/backstage-cms-search-header/0.2.3/server/style.css,Fora do Escopo
false,GET,https://s.glbimg.com/bs/delivery/delivery-components/backstage-cms-search-menu/0.2.4/server/style.css,Fora do Escopo
true,GET,http://g1.globo.com/pa/para/aeroporto/carajas.html,
true,GET,https://g1.globo.com/carros/marcas/ferrari/,
false,GET,https://s.glbimg.com/bs/delivery/delivery-components/backstage-cms-search-footer/0.1.4/server/style.css,Fora do Escopo
true,GET,https://g1.globo.com/mg/minas-gerais/bom-dia-minas/,
true,GET,https://g1.globo.com/carros/modelos/effa-hafei-van/,
true,GET,https://g1.globo.com/mg/minas-gerais/mg1/,
true,GET,https://g1.globo.com/carros/marcas/mercedes-benz/,
true,GET,https://g1.globo.com/mg/minas-gerais/mg2/,
true,GET,http://g1.globo.com/pr/norte-noroeste/aeroporto/londrina.html,
false,GET,https://globoplay.globo.com/role-nas-gerais/p/11828/,Fora do Escopo
true,GET,https://g1.globo.com/mg/minas-gerais/terra-de-minas/,
true,GET,https://g1.globo.com/carros/marcas/suzuki/,
true,GET,https://g1.globo.com/carros/modelos/chery-face/,
true,GET,https://g1.globo.com/mg/minas-gerais/pelas-cozinhas-de-minas/,
true,GET,http://g1.globo.com/sp/campinas-regiao/aeroporto/viracopos.html,
false,GET,http://globoesporte.globo.com/mg/,Fora do Escopo
true,GET,https://g1.globo.com/mg/centro-oeste/,
true,GET,http://g1.globo.com/rr/roraima/aeroporto/boa-vista.html,
true,GET,https://g1.globo.com/carros/modelos/fiat-500/,
true,GET,https://g1.globo.com/carros/marcas/ram/,
true,GET,http://g1.globo.com/go/goias/aeroporto/santa-genoveva.html,
true,GET,https://g1.globo.com/carros/marcas/volkswagen/,
true,GET,https://g1.globo.com/carros/marcas/honda/,
false,GET,https://globoplay.globo.com/bom-dia-minas/p/2664/,Fora do Escopo
false,GET,https://globoplay.globo.com/mgtv-1a-edicao-centro-oeste/p/7624/,Fora do Escopo
false,GET,https://globoplay.globo.com/mgtv-2a-edicao-centro-oeste/p/7626/,Fora do Escopo
false,GET,https://globoplay.globo.com/mg-rural-tv-integracao/p/5494/,Fora do Escopo
false,GET,https://globoplay.globo.com/integracao-noticia-centro-oeste/p/7625/,Fora do Escopo
false,GET,http://globoesporte.globo.com/mg/zona-da-mata-centro-oeste/,Fora do Escopo
true,GET,https://g1.globo.com/mg/grande-minas/,
true,GET,https://g1.globo.com/carros/marcas/renault/,
false,GET,https://globoplay.globo.com/inter-tv-noticia-grande-minas/p/10415/,Fora do Escopo
false,GET,https://globoplay.globo.com/mg-inter-tv-1a-edicao-grande-minas/p/7164/,Fora do Escopo
